Name,City,Phone,Website,Address,Under 36mo,Preschool,School Age,Mandarin,Cantonese,CCFRI
Abbotsford Childcare,Abbotsford,604-612-0439,,"2054 Cherry St, Abbotsford, BC V2S 3S6",,,,,,Y
Abbotsford Christian School Childcare Preschool & Seamless D,Abbotsford,604-755-8106,,"3939 Old Clayburn Rd, Abbotsford, BC V3G 1J9",,,,,,Y
Abby Childcare Centre,Abbotsford,604-612-0439,,"2663 James St, Abbotsford, BC V2T 3L6",,,,,,Y
Abby Good Beginnings,Abbotsford,778-798-4450,www.abbygoodbeginnings.com,"34641 Sandon Dr, Abbotsford, BC V2S 7J2",,,,,,Y
Abby Junior Childcare Centre Inc.,Abbotsford,778-345-9202,,"3290 Wagner Dr, Abbotsford, BC V2T 5G1",,,,,,Y
Abby Twinkle Stars Daycare Inc,Abbotsford,604-751-5765,,"32708 Haida Dr, Abbotsford, BC V2T 4Z5",Y,Y,Y,,,Y
Abc Childcare Centre,Abbotsford,604-300-1179,,"32340 Mouat Dr, Abbotsford, BC V2T 4J1",,Y,,,,Y
All Day Smiles Child Care Centre,Abbotsford,778-680-4200,,"36517 Carnarvon Crt, Abbotsford, BC V3G 3G4",,,,,,Y
Angel Pines Center,Abbotsford,778-929-0213,,"2826 Cambridge St, Abbotsford, BC V2S 4C7",Y,,,Y,,Y
Angel Pines Daycare,Abbotsford,778-929-0213,,"8-3457 Whatcom Rd, Abbotsford, BC V3G 0B9",,,,,,Y
Beautiful Blessings Learning Centre Inc,Abbotsford,778-865-9816,,"103-1785 Clearbrook Rd, Abbotsford, BC V2T 5X5",Y,Y,,,,Y
Beautiful Minds,Abbotsford,604-729-9538,beautifulmindshome.wixsite.com,"36120 Walter Rd, Abbotsford, BC V3G 1K9",Y,Y,Y,,,Y
Blossom Childcare Centre,Abbotsford,604-614-4593,,"35366 mckee Rd, Abbotsford, BC V2S 8L5",Y,Y,Y,,,Y
Blueridge Childcare,Abbotsford,604-870-8878,,"3459 Goldfinch St, Abbotsford, BC V2T 6Y5",,,,,,Y
Braun-Tasaurus Preschool,Abbotsford,604-854-5963,,"2087 Majestic Cres, Abbotsford, BC V2T 3E9",,,,,,Y
Bright Life Childcare Ltd,Abbotsford,604-712-1170,,"32177 Austin Ave, Abbotsford, BC V2T 4P4",,,,,,Y
Bright Steps,Abbotsford,778-345-7601,,"2950 Blue Jay St, Abbotsford, BC V2T 5P5",,Y,,,,Y
Bright Zone Childcare,Abbotsford,778-536-8510,,"1730 Everett Rd, Abbotsford, BC V2S 7S4",,,,,,Y
Brighten Little Kids Child Care,Abbotsford,778-598-4453,,"31379 Homestead Cres, Abbotsford, BC V2T 6V5",,,,,,Y
Brilliant Stars Childcare Centre Ltd.,Abbotsford,604-746-9140,,"32118 Dormick Ave, Abbotsford, BC V2T 1J5",,,,,,Y
Building Blocks Daycare,Abbotsford,778-235-3699,,"3071 Mccrae St, Abbotsford, BC V2S 5T1",,,,,,Y
"Busy Bear Club Preschool, The",Abbotsford,604-852-1260,,"37290 Kilgard, Abbotsford, BC V3G 2H6",,,,,,Y
Care And Fun Childcare,Abbotsford,604-832-0375,,"31883 Mayne Ave, Abbotsford, BC V2T 4W9",,,,,,Y
Care And Fun Childcare Centre 1,Abbotsford,604-832-0375,,"2485 Sugarpine St, Abbotsford, BC V2T 3M7",,,,,,Y
Care And Fun Childcare Centre 2,Abbotsford,778-552-5130,,"33422 King Rd, Abbotsford, BC V2S 6J5",,,,,,Y
Cefa Early Learning Abbotsford – Highstreet,Abbotsford,604-425-3800,,"3122 Mt Lehman Rd, Abbotsford, BC V2T 0C5",,,,,,Y
Chalo Child Care Centre,Abbotsford,236-258-1915,,"32462 Hillcrest Ave, Abbotsford, BC V2T 1T6",Y,Y,Y,,,Y
Contemporary Kids Learning Centre Inc.,Abbotsford,604-839-0511,,"2621 Montrose Ave, Abbotsford, BC V2S 3T5",,,,,,Y
Cornerstone Junior Kindergarten,Abbotsford,604-859-7867,,"32860 Downes Rd, Abbotsford, BC V2S 5Z5",,,,,,Y
Country Bears Child Care Centre Inc,Abbotsford,778-871-5608,,"31216 King Rd, Abbotsford, BC V2T 6C2",,Y,,,,Y
Creating Smiles- Auguston,Abbotsford,778-239-2075,,"36367 Stephen Leacock Dr, Abbotsford, BC V3G 2Z6",,,,,,Y
Creative Edge School Of Arts Ltd.,Abbotsford,604-855-3343,,"300-3033 Immel St, Abbotsford, BC V2S 6S2",,,,,,Y
Cutefeet Childcare,Abbotsford,604-866-1628,www.cutefeetchildcare.ca,"3185 Lukiv Terrace, Abbotsford, BC V2S 0E5",Y,Y,,,,Y
Dino Discovery Daycare,Abbotsford,778-598-1361,,"3398 Nightingale Dr, Abbotsford, BC V2T 5W3",,,,,,Y
Diversity Childcare Centre,Abbotsford,778-347-9620,,"31606 Clearview Cres, Abbotsford, BC V2T 1Z1",,,,,,Y
Eco Kids Care Inc.,Abbotsford,778-549-0766,,"6256 Mt Lehman Rd, Abbotsford, BC V4X 2G5",,,,,,Y
Eco Kids Care Inc.,Abbotsford,778-549-6766,,"6381 Mt Lehman Rd, Abbotsford, BC V4X 2G5",,,,,,Y
Enchanted Forest Childcare Center Inc.,Abbotsford,604-789-1368,,"3266 Rathtrevor Crt, Abbotsford, BC V3G 2X8",,,,,,Y
Forest Friends Childcare + Early Learning Centre,Abbotsford,604-308-0874,,"3525 Cariboo Crt, Abbotsford, BC V2S 7H2",,,,,,Y
Fraser Valley Montessori Preschool & School Age Care,Abbotsford,604-859-5061,,"32717 Chilcotin Dr, Abbotsford, BC V2T 4M7",,,,,,Y
Fraser Valley Montessori Preschool Sandy Hill Campus,Abbotsford,604-859-5061,,"3836 Old Clayburn Rd, Abbotsford, BC V3G 2Z5",,,,,,Y
Fraser Valley Montessori School Age Care,Abbotsford,604-859-5061,,"3060 Old Clayburn Rd, Abbotsford, BC V2T 4M7",,,,,,Y
Fun Square Childcare Limited,Abbotsford,778-344-3834,,"30675 Crestview Ave, Abbotsford, BC V2T 6T5",,,,,,Y
Fun Times Child Care,Abbotsford,604-996-0923,,"3795 Nanaimo Cres, Abbotsford, BC V2T 4Z8",,,,,,Y
Fun-N-Learn Childcare Centre,Abbotsford,604-755-0738,,"31094 Edgehill Ave, Abbotsford, BC V2T 5J9",,,,,,Y
Gentle Touch Daycare,Abbotsford,604-859-0170,,"3429 Blueberry Crt, Abbotsford, BC V3G 3C9",,,,,,Y
Giggle Galaxy Daycare Ltd,Abbotsford,778-323-1978,,"1920 Eagle St, Abbotsford, BC V2S 3A6",,,,,,Y
Gladwin Child Care Centre,Abbotsford,604-853-9084,,"3145 Gladwin Rd, Abbotsford, BC V2T 5T4",,,,,,Y
Global West Montessori,Abbotsford,604-763-4439,,"101-3600 Townline Rd, Abbotsford, BC V2T 5W8",,,,,,Y
Godson Early Learning Program,Abbotsford,604-864-5437,,"33130 Bevan Ave, Abbotsford, BC V2S 1T6",,,,,,Y
Golden Heart Early Learning Academy,Abbotsford,604-621-2125,,"2134 Oakridge Cres, Abbotsford, BC V2T 6A8",Y,Y,,,,Y
Golden Rainbow Childcare Centre,Abbotsford,778-344-2642,,"32225 Golden Ave, Abbotsford, BC V2T 5C5",,,,,,Y
"Grand Kids Care, The (Tgk)",Abbotsford,778-536-5423,,"35431 mckee Rd, Abbotsford, BC V3G 3E4",,,,,,Y
Grandma's House Day Care Ltd.,Abbotsford,778-666-7394,,"3855 Old Clayburn Rd, Abbotsford, BC V2S 8K4",,,,,,Y
Growing Together Children's Centre,Abbotsford,604-853-5618,,"32981 Brundidge Ave, Abbotsford, BC V2S 1N4",,,,,,Y
Hand In Hand - Aberdeen Elementary,Abbotsford,778-369-0114,,"2975 Bradner Rd, Abbotsford, BC V4X 1K6",,,,,,Y
Hand In Hand - Alexander Elementary,Abbotsford,604-859-1843,,"2250 Lobban Rd, Abbotsford, BC V2S 3W1",,,,,,Y
Hand In Hand - Blue Jay Elementary,Abbotsford,604-859-1843,,"30995 Southern Dr, Abbotsford, BC V2T 6X5",,,,,,Y
Hand In Hand - Centennial Park Elementary,Abbotsford,604-859-1843,,"2527 Gladwin Rd, Abbotsford, BC V2T 3N8",,,,,,Y
Hand In Hand - Dr. Thomas Swift Elementary,Abbotsford,604-859-1843,,"34800 Mierau Ave, Abbotsford, BC V2S 5Y4",,,,,,Y
Hand In Hand - Early Learning Centre,Abbotsford,604-859-3830,,"3154 Clearbrook Rd, Abbotsford, BC V2T 4N6",,,,,,Y
Hand In Hand - Godson Elementary,Abbotsford,604-859-1843,,"33130 Bevan Ave, Abbotsford, BC V2S 1T6",,,,,,Y
Hand In Hand - John Maclure Elementary,Abbotsford,604-852-1622,,"2990 Oriole Cres, Abbotsford, BC V2T 4C9",,,,,,Y
Hand In Hand - Mountain Elementary,Abbotsford,604-859-1843,,"2299 Mountain Dr, Abbotsford, BC V3G 1E6",,,,,,Y
Hand In Hand - North Poplar Elementary,Abbotsford,604-859-1843,,"32041 Marshall Rd, Abbotsford, BC V2T 1A2",,,,,,Y
Hand In Hand - Prince Charles Elementary,Abbotsford,604-859-1843,,"35410 mckee Rd, Abbotsford, BC V3G 3B1",,,,,,Y
Hand In Hand - Sandy Hill Elementary,Abbotsford,604-859-1843,,"3836 Old Clayburn Rd, Abbotsford, BC V2T 4M7",,,,,,Y
